#E (eV)                 PP(111)H	            PS(111)H
3.812313120691790e+0    5.689910650000000e-1	8.374533650000000e-1
3.805362409393662e+0    7.571264510000000e-1	8.769277330000000e-1
3.798436997414813e+0    6.488979459999999e-1	8.838542100000000e-1
3.791536746878816e+0    7.794934510000000e-1	8.836277130000000e-1
3.784661520909294e+0    5.497923489999999e-1	8.540551660000000e-1
3.777811183620868e+0    8.004850150000000e-1	8.481944800000000e-1
3.770985600110206e+0    9.401107430000000e-1	7.969352600000000e-1
3.764184636447170e+0    8.837555650000000e-1	8.154693250000000e-1
3.757408171053722e+0    8.024312260000000e-1	8.222363590000000e-1
3.750656049103685e+0    9.284954670000000e-1	8.348855970000000e-1
3.743928150963090e+0    8.898123500000000e-1	7.970101830000000e-1
3.737224346507905e+0    7.722256180000000e-1	7.999193070000000e-1
3.730544506544414e+0    6.770322920000000e-1	8.217039110000000e-1
3.723888502800931e+0    6.877720360000000e-1	8.433365230000000e-1
3.717256207919582e+0    8.960958720000000e-1	8.120506410000000e-1
3.710647495448186e+0    9.224302770000000e-1	7.980962990000000e-1
3.704062239832214e+0    7.773604390000000e-1	7.772241830000000e-1
3.697500316406844e+0    8.669330480000000e-1	7.888728980000000e-1
3.690961601389086e+0    8.573709730000000e-1	7.747737170000000e-1
3.684445971870007e+0    7.535109520000000e-1	7.526336310000000e-1
3.677953305807025e+0    6.613720060000000e-1	7.529316540000000e-1
3.671483492889089e+0    7.118461130000000e-1	7.708222270000000e-1
3.665036390999789e+0    6.692391040000000e-1	7.591251730000000e-1
3.658611891561350e+0    6.535690430000000e-1	7.498590350000000e-1
3.652209875921197e+0    7.181434040000000e-1	7.613481280000000e-1
3.645830226255794e+0    7.715815900000000e-1	7.832252380000000e-1
3.639472825563429e+0    8.073338870000000e-1	7.859746810000000e-1
3.633137557657049e+0    7.975399490000000e-1	7.659738660000000e-1
3.626824307157190e+0    7.490827440000000e-1	7.741204500000000e-1
3.620532959484969e+0    7.493317720000000e-1	7.922909860000000e-1
3.614263400855154e+0    7.284107210000000e-1	8.064713480000000e-1
3.608015518269299e+0    7.306391000000000e-1	8.237858410000000e-1
3.601789199508967e+0    7.838636040000000e-1	8.455199000000000e-1
3.595584343556905e+0    8.023437260000000e-1	8.720260260000000e-1
3.589400818842937e+0    7.943493720000000e-1	9.016960860000000e-1
3.583238525912519e+0    7.673753500000000e-1	9.312154650000000e-1
3.577097355600717e+0    7.772406940000000e-1	9.718559380000000e-1
3.570977199489691e+0    7.781652210000000e-1	1.030373220000000e+0
3.564877949902313e+0    7.253650430000000e-1	1.070747380000000e+0
3.558799499895855e+0    7.661335470000000e-1	1.121522550000000e+0
3.552741743255735e+0    8.152829410000000e-1	1.179836030000000e+0
3.546704574489335e+0    8.085144760000000e-1	1.251419780000000e+0
3.540687888819869e+0    8.053600790000000e-1	1.311536550000000e+0
3.534691582180334e+0    8.145505190000000e-1	1.362783550000000e+0
3.528715551207496e+0    8.401170970000000e-1	1.430756330000000e+0
3.522759693235962e+0    8.726500270000000e-1	1.519245860000000e+0
3.516823916268364e+0    9.210551380000000e-1	1.595561390000000e+0
3.510908099031730e+0    9.651348590000000e-1	1.678169370000000e+0
3.505012150928909e+0    1.014481900000000e+0	1.764106990000000e+0
3.499135972027650e+0    1.066528920000000e+0	1.855541590000000e+0
3.493279463064730e+0    1.133499740000000e+0	1.938022260000000e+0
3.487442525440361e+0    1.186528330000000e+0	2.001700400000000e+0
3.481625061212661e+0    1.240324970000000e+0	2.073885920000000e+0
